id,reputation
"15982","13209"
"16007","67213"
"16032","1741"
"16035","24781"
"16076","291854"
"16082","30406"
"16102","122750"
"16185","14619"
"16245","5360"
"16287","57612"
"16306","34032"
"16309","2285"
"16314","1164"
"16387","5288"
"16391","18757"
"16406","115413"
"16425","5177"
"16440","14600"
"16509","4201"
"16522","10507"
"16582","17879"
"16587","56693"
"16592","5112"
"16609","1109"
"16642","7686"
"16645","11692"
"16672","1690"
"16673","32381"
"16720","1020"
"16725","16648"
"16732","5088"
"16772","1069"
"16784","15699"
"16881","39561"
"16882","2753"
"16911","8036"
"16929","32624"
"16959","29094"
"17027","27706"
"17028","74036"
"17034","908972"
"17121","60128"
"17145","7214"
"17152","3036"
"17175","9683"
"17205","7046"
"17294","22698"
"17304","4136"
"17335","14260"
"17389","93946"
"17404","3963"
"17410","46866"
"17419","5379"
"17428","9635"
"17447","52490"
"17500","4548"
"17523","28491"
"17579","6239"
"17613","3140"
"26510","62900"
"26516","3258"
"26566","10766"
"26575","41783"
"26625","15860"
"26658","6879"
"26734","4504"
"26742","23062"
"26833","43875"
"26837","13134"
"26848","5693"
"26907","1481"
"26976","4468"
"27025","21573"
"27060","5730"
"27074","7171"
"27090","3971"
"27109","27886"
"27122","8878"
"27198","29734"
"27214","5871"
"27302","6960"
"27306","10633"
"27358","45468"
"27404","16273"
"27406","4775"
"27439","101486"
"27461","4014"
"27474","26366"
"27491","33016"
"27497","7857"
"27512","18249"
"27536","13465"
"27555","5167"
"27557","1767"
"27637","32126"
"27641","15863"
"27658","7485"
"27678","39026"
"27727","48939"
"27754","1140"
"27765","5880"
"27779","15506"
"27825","20937"
"27898","2767"
"27905","18533"
"27955","1436"
"28004","72206"
"28128","81518"
"28312","1674"
"28376","68542"
"28486","1753"
"28494","33452"
"28557","39923"
"28565","4430"
"38207","26991"
"38241","1967"
"38258","9098"
"38270","1470"
"38281","1709"
"38333","15420"
"38360","119555"
"38368","16891"
"38461","6017"
"38483","4715"
"38522","51815"
"38611","6860"
"38626","45090"
"38714","4026"
"38765","76292"
"38813","23252"
"23","6743"
"36","5290"
"51","40188"
"81","1987"
"87","2285"
"92","21219"
"95","16774"
"108","3731"
"114","2985"
"115","85762"
"116","289825"
"117","53939"
"145","31131"
"148","12389"
"151","3296"
"155","1246"
"188","34356"
"189","16644"
"193","7945"
"208","72426"
"214","13728"
"219","25852"
"227","14031"
"234","119716"
"235","24279"
"278","7852"
"307","47104"
"312","25321"
"314","8203"
"317","13026"
"337","48620"
"390","4642"
"399","3668"
"402","16477"
"415","7689"
"419","116725"
"426","7563"
"432","29244"
"434","8694"
"437","56643"
"463","1915"
"466","1582"
"476","500239"
"501","9279"
"506","4242"
"507","46973"
"510","23051"
"521","5824"
"578","5206"
"598","57097"
"607","6533"
"5799145","1544"
"10798917","7156"
"15935459","1009"
"5802031","4311"
"5802417","6462"
"4372","2542"
"4411","10216"
"4462","6038"
"4468","6187"
